dataset,class,k_shot,task,mode,auroc,semantic_auroc,memory_auroc,gap,oracle_semantic_ratio,oracle_memory_ratio
visa,pcb2,2,seg,max,95.45018951902901,89.3751683526268,95.45018951902901,6.075021166402209,,
visa,pcb2,2,seg,harmonic,95.53311983290206,89.45282048512951,95.53311983290206,6.080299347772552,,
visa,pcb2,2,seg,oracle,95.45018951902901,89.3751683526268,95.45018951902901,6.075021166402209,,
visa,fryum,2,cls,semantic,77.483,,,,,
visa,fryum,2,cls,memory,86.10799999999999,,,,,
visa,fryum,2,cls,max,86.24300000000001,77.483,86.10799999999999,0.13500000000000734,,
visa,fryum,2,cls,harmonic,86.707,77.483,86.10799999999999,0.5990000000000051,,
visa,fryum,2,cls,oracle,99.41199999999999,77.483,86.10799999999999,13.303999999999993,78.16666666666666,21.833333333333332
visa,cashew,2,cls,semantic,92.38000000000001,,,,,
visa,cashew,2,cls,memory,84.34000000000002,,,,,
visa,cashew,2,cls,max,92.38000000000001,92.38000000000001,84.34000000000002,0.0,,
visa,cashew,2,cls,harmonic,85.694,92.38000000000001,84.34000000000002,-6.6860000000000035,,
visa,cashew,2,cls,oracle,100.0,92.38000000000001,84.34000000000002,7.619999999999994,16.666666666666664,83.33333333333334
visa,candle,2,seg,semantic,87.72577813481035,,,,,
visa,candle,2,seg,memory,95.20890525710747,,,,,
visa,candle,2,seg,max,95.16104574467902,67.66551828123615,95.16104574467902,27.49552746344287,,
visa,candle,2,seg,harmonic,94.17911646055977,66.96730449632544,94.17911646055977,27.21181196423433,,
visa,candle,2,seg,oracle,95.16104574467902,67.66551828123615,95.16104574467902,27.49552746344287,,
visa,pcb2,2,cls,semantic,64.08291708291709,,,,,
visa,pcb2,2,cls,memory,74.9090909090909,,,,,
visa,pcb2,2,cls,max,75.15784215784215,64.08291708291709,74.9090909090909,0.24875124875125554,,
visa,pcb2,2,cls,harmonic,77.0054945054945,64.08291708291709,74.9090909090909,2.0964035964035954,,
visa,pcb2,2,cls,oracle,100.0,64.08291708291709,74.9090909090909,25.090909090909097,90.73569482288828,9.264305177111716
visa,pcb1,2,seg,semantic,89.43959378826098,,,,,
visa,pcb1,2,seg,memory,98.18545547758497,,,,,
visa,pcb1,2,seg,max,98.50068337662134,54.54279964662615,98.50068337662134,43.95788372999519,,
visa,pcb1,2,seg,harmonic,96.98711188882133,53.70468945713364,96.98711188882133,43.28242243168769,,
visa,pcb1,2,seg,oracle,98.50068337662134,54.54279964662615,98.50068337662134,43.95788372999519,,
visa,macaroni1,2,seg,semantic,96.12410982721269,,,,,
visa,macaroni1,2,seg,memory,90.44208946639213,,,,,
visa,macaroni1,2,seg,max,96.57013187192817,94.97811974890544,96.57013187192817,1.5920121230227267,,
visa,macaroni1,2,seg,harmonic,96.98277069964811,95.38395599695167,96.98277069964811,1.598814702696444,,
visa,macaroni1,2,seg,oracle,96.57013187192817,94.97811974890544,96.57013187192817,1.5920121230227267,,
visa,pipe_fryum,2,cls,semantic,83.097,,,,,
visa,pipe_fryum,2,cls,memory,98.714,,,,,
visa,pipe_fryum,2,cls,max,98.79100000000001,83.097,98.714,0.07700000000000484,,
visa,pipe_fryum,2,cls,harmonic,98.249,83.097,98.714,-0.4650000000000043,,
visa,pipe_fryum,2,cls,oracle,99.569,83.097,98.714,0.8549999999999947,49.833333333333336,50.16666666666667
visa,pcb3,2,seg,semantic,86.40482996885515,,,,,
visa,pcb3,2,seg,memory,93.9285232808698,,,,,
